track_name,track_artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
Disco Fever,Goat,rock,0.527,0.964,11,-3.411,0,0.0662,0.00101,0.876,0.219,0.576,104.724,5plmGfodqCo1Vf0KP4U5t1,264053,4
Right Here In My Arms (Live at El Teatro Flores BS.AS.MMXIV),HIM,rock,0.43,0.979,4,-3.886,0,0.103,0.00512,0.000561,0.932,0.529,156.061,5DcLCAIjJeAaX1HmFopGZi,250042,4
"I Can't Tell You Why - Live at Santa Monica Civic Auditorium, Santa Monica, CA, 7/28/1980; 2018 Remaster",Eagles,rock,0.49,0.439,2,-11.938,1,0.0258,0.42,0.0134,0.784,0.373,84.133,4EVLPygzdOebjYqlsQ91oS,318680,4
Where The Wild Things Are,Metallica,rock,0.454,0.888,11,-4.844,1,0.0485,0.000375,0.0204,0.109,0.166,92.221,4y8YNER0bmZhPOTJr76IiR,414133,4
Ever Enough,A Rocket To The Moon,rock,0.356,0.625,1,-3.455,1,0.0317,0.219,0,0.107,0.293,165.902,1OBNzxKB8SAi2LpVjeAp8y,187293,4
Jersey Girl,Tom Waits,rock,0.337,0.246,2,-18.366,1,0.031,0.144,0.0309,0.0843,0.242,176.082,4w06qSCz2ea5CZoxbtCptw,311733,4
Theme for Young Lovers,The Shadows,rock,0.525,0.543,2,-9.589,1,0.0287,0.0324,0.815,0.138,0.709,127.365,5esegd3KQ5MTWi7XMsI8tY,158560,4
"Hound Dog - Live At The Star-Club, Hamburg, Germany/1964",Jerry Lee Lewis,rock,0.217,0.968,0,-9.132,1,0.0592,0.0151,0.56,0.9,0.818,183.292,1SIfiqUWxkstZh0CS6YZXM,148960,4
Franklin's Tower - 2013 Remaster,Grateful Dead,rock,0.832,0.472,2,-14.403,1,0.0646,0.716,0.00179,0.0824,0.889,99.29,3PgIhd4XmwtmV2XGU5qhzZ,274942,4
Down Town,Petula Clark,rock,0.573,0.413,3,-15.733,1,0.0435,0.518,0,0.148,0.574,119.435,2IzUfd8Dv5wfvLoe8yfpNA,198667,4
Moon Over Bourbon Street - Live In Berlin/2010,Sting,rock,0.388,0.29,5,-15.851,0,0.0803,0.774,0.00048,0.759,0.344,71.873,1b0xBtZzpq66e3wpSdWMGM,364653,4
Dixieland,Jackyl,rock,0.642,0.552,7,-8.768,1,0.0286,0.0118,0.0126,0.055,0.251,119.134,5h6WFnkzymR5VwA7n7NJ6i,361773,4
ONE OF US - GOLDHOUSE R333MIX,FEVER 333,rock,0.702,0.671,7,-6.724,0,0.297,0.00782,0,0.212,0.275,91.001,3aKzimkCrvzqBNXDwNf1fF,180989,4
So You Want To Be A Rock & Roll Star - Live At The Wiltern/1985,Tom Petty and the Heartbreakers,rock,0.341,0.888,2,-12.37,1,0.0541,0.00422,0.000313,0.957,0.561,142.78,1bYjWWpROUmKeBSWb0b6Qr,216500,4
Learning How to Love,Colony House,rock,0.381,0.626,8,-6.2,1,0.0354,0.23,0,0.108,0.391,165.06,631hvSSsxGYT3DOBVVS4qM,213880,4
Here At The Western World,Steely Dan,rock,0.687,0.524,2,-12.994,1,0.0288,0.209,0.000266,0.174,0.568,109.221,2TvKIKO2vAe51X5GKR3j6D,241893,4
No More Lies,Iron Maiden,rock,0.22,0.837,5,-5.411,1,0.0518,0.0137,0.00593,0.14,0.171,93.832,3fTVXXjERS6pr5zKao4SXm,442200,4
"Let It Grow - Live at Madison Square Garden, NY, Sept. 1990",Grateful Dead,rock,0.538,0.494,4,-12.074,0,0.0369,0.781,0.0629,0.0735,0.62,137.057,03urp9ycZwxy4spwV6YNay,690013,4
Jesús Pétur Kiljan og hin heilaga jómfrú og aumingja ég,Bubbi Morthens,rock,0.761,0.498,0,-10.798,0,0.0319,0.607,5.24e-05,0.106,0.91,143.473,1EkWvu03py5sGihxA5J5GR,196998,4
Muriel,Tom Waits,rock,0.39,0.0663,7,-21.107,1,0.0483,0.968,0.00603,0.114,0.162,80.334,09SPlF47uMPiK5zB3HuE8v,213933,3
Walk Out In The Rain - Remastered 2010,Badfinger,rock,0.488,0.263,7,-12.683,0,0.0272,0.697,1.78e-05,0.0981,0.29,84.727,1vZ8CImKpkli1Q4mLEpyX8,207680,4
Death or Glory,The Clash,rock,0.676,0.845,0,-7.058,1,0.0456,0.0299,0,0.161,0.784,137.556,42L6ngjyn9f7kAtZwUmHQ9,235067,4
Sad But True (Live in Mexico City),Metallica,rock,0.351,0.965,0,-6.708,0,0.0765,0.00173,0.00825,0.98,0.121,89.711,246F6v76CuIkRkgcIgBBi6,367107,4
Take It All - Remastered 2010,Badfinger,rock,0.435,0.499,7,-7.253,1,0.0249,0.0626,0.00583,0.402,0.225,71.338,0y6mhgH8GPKn7cb2xYFuE3,267720,4
"Good Lovin' - Live at Harpur College, Binghamton, NY, May 2, 1970",Grateful Dead,rock,0.5,0.557,0,-13.319,1,0.0415,0.868,0.573,0.71,0.674,128.549,7opTfJn2QyKdOI6lfJGpSJ,910547,4
I Need To Be In Love - 1990 Remix,Carpenters,rock,0.287,0.359,9,-10.618,1,0.0346,0.715,0.000173,0.0895,0.134,143.568,2vYlAN22ryL6xtqH6K0guN,229800,4
Too Little Too Late,Slightly Stoopid,rock,0.657,0.726,7,-6.662,1,0.0572,0.711,0,0.637,0.922,76.909,1q9aJhSdaexT8O4rPYZUjn,176427,4
Leather and Lace (with Don Henley),Stevie Nicks,rock,0.553,0.398,3,-11.67,1,0.0303,0.664,0,0.114,0.392,76.074,2npStoMbQxG1LcIeF4PZrj,229227,4
No Love Lost - 2010 Remaster,Joy Division,rock,0.515,0.71,9,-11.178,1,0.0413,0.117,7.86e-05,0.0688,0.623,133.278,3DGl2F6Rw8EZV35H4K9sgz,222383,4
"Jim's Fish Joke - Live at the Felt Forum, New York City, January 17, 1970, Second Show",The Doors,rock,0.314,0.427,6,-21.657,1,0.316,0.595,0.000438,0.972,0.0355,121.447,3ZyfJV5ZDLz1LWETetMmXL,70533,1
Roots Rockin',Aswad,rock,0.741,0.626,8,-6.619,1,0.105,0.115,0.000115,0.934,0.694,134.766,61JjO8rJeDivJUghlapTv5,239787,4
Средняя школа № 7 - А мы любили,Hi-Fi,rock,0.824,0.78,3,-7.28,0,0.0332,0.0896,1.47e-05,0.0344,0.96,124.959,4HNzt8SX8PILKZfx8W2cEo,184880,4
Back Door Man - Live At The Isle Of Wight Festival 1970,The Doors,rock,0.635,0.518,4,-13.607,0,0.0271,0.0543,0.0298,0.947,0.79,87.013,628iQ0ohhnpaCl7C1winR0,257853,4
Roots,Kyd the Band,rock,0.652,0.564,9,-7.237,0,0.0541,0.449,0,0.0801,0.577,137.976,3FT04toL4pcfk9B5Qop9e6,177388,4
She Goes to Church on Sunday - Acetate Version 1970,? & The Mysterians,rock,0.713,0.47,2,-11.644,1,0.0432,0.102,8.39e-05,0.188,0.906,116.616,5ciEireqen530DReWWZrqy,160493,4
Força Bruta,Jorge Ben Jor,rock,0.486,0.755,10,-6.826,0,0.125,0.579,1.87e-06,0.153,0.871,129.121,3e3xtjIJzliHs12RGbQBYO,308413,4
House of Fire,Alice Cooper,rock,0.479,0.979,10,-5.077,0,0.107,0.0207,0,0.722,0.292,124.765,3besbqbQ0SNltlL36FAMD2,226427,4
Victim or the Crime - Live October 1989 - April 1990,Grateful Dead,rock,0.389,0.774,9,-8.673,1,0.0516,0.185,0.0051,0.988,0.5,106.322,1zJobivHJZYRbQo5mfLWrd,484667,4
Icicles - Remastered 2010,Badfinger,rock,0.475,0.678,9,-8.892,1,0.0481,0.529,3.31e-05,0.209,0.465,136.714,4ACXdyrkA2jUE5qVR6MTFC,153973,4
Let’s Talk About Us - Live,Rockpile,rock,0.236,0.878,6,-7.294,0,0.0776,0.0648,0.00544,0.945,0.873,199.99,7mEn9XredSGKJuMeIh4DLY,239427,4
"Jet City Woman - Live At The Hammersmith Odeon, London/1990",Queensrÿche,rock,0.299,0.945,4,-4.824,1,0.0813,0.000451,0.0568,0.962,0.27,109.68,5cBhPVRH2a8qG9z6Xdcd3z,330773,4
The Call of Ktulu (Live),Metallica,rock,0.226,0.899,8,-8.021,0,0.0754,5.02e-05,0.79,0.552,0.0811,133.271,2v0QgowVkLxj9cB1jzj3C0,554413,4
"Los Angelenos - Live at Toad's Place, New Haven, CT - July 1980",Billy Joel,rock,0.542,0.853,2,-7.539,0,0.0593,0.271,4.17e-05,0.731,0.721,129.949,60NngcCnigdaQnCQc0TouF,229200,4
Where's the Party?,Eddie Money,rock,0.692,0.687,9,-7.587,1,0.0449,0.111,0,0.039,0.734,133.337,3kypLgSoNQRUR0v8XPWGIK,233627,4
Going to California - 1990 Remaster,Led Zeppelin,rock,0.495,0.237,2,-17.701,1,0.0333,0.892,0.00638,0.0865,0.541,77.376,55sjCMeQM26VxbNHhMtj2b,211467,4
Ain't It a Shame,? & The Mysterians,rock,0.336,0.701,4,-6.663,0,0.0295,0.0177,0.0143,0.0954,0.569,99.506,6ztoHXNxkG4aMktYnvaTqL,143012,4
Christmas Day,Chris Tomlin,rock,0.256,0.648,10,-4.237,1,0.0382,0.0202,0,0.299,0.331,179.688,7CIZCt6OLixQwqXIPjMbXH,263267,3
(We Were) Born to Rock,Quiet Riot,rock,0.43,0.812,2,-13.697,1,0.0466,0.00365,0.000209,0.134,0.23,92.216,4H5WVVCiPTwwWE0vIDzI0a,216107,4
Buen Rock Esta Noche - Good Rockin' Tonight [Remasterizado],Los Teen Tops,rock,0.478,0.94,9,-6.926,1,0.101,0.847,1.6e-05,0.254,0.85,95.646,6A3rHCtV9sP5aRvBDth3wB,136827,4
Nights In White Satin - Single Version / Mono Mix,The Moody Blues,rock,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,6L5BZEcZmD6RBJnimzlyKr,269107,4
The Movement of a Hand,Bright Eyes,rock,0.454,0.516,9,-9.657,1,0.0357,0.779,0.00576,0.114,0.137,75.4,3vCBZo2jnSViXEUdy9fq1T,242868,4
Dance,Ratt,rock,0.559,0.903,8,-9.5,1,0.0467,0.00151,0.0163,0.138,0.741,128.946,4kdy7pEmy9rvSUjTt5wFhV,261387,4
Lonely Boy,Andrew Gold,rock,0.588,0.598,9,-13.288,1,0.0296,0.0386,5.83e-05,0.107,0.866,123.724,4fR4U3RCQ0q49Jh8ws7rLC,264893,4
Just Wait,Blues Traveler,rock,0.453,0.569,7,-8.056,1,0.0297,0.102,2.75e-06,0.0896,0.292,137.619,7MQXDt4rMP2VR1MQjq7LeS,334000,4
Am I Evil?,Metallica,rock,0.349,0.943,4,-5.704,1,0.0922,0.00129,0.454,0.0529,0.518,97.491,0vFDo1ed4LC3pmISYHeJV3,470133,4
Renegades,X Ambassadors,rock,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,6gKGC76dUBj2LloKQyxxDr,195200,4
Make It Real,The Jets,rock,0.724,0.275,9,-11.332,1,0.0354,0.205,0.0001,0.0935,0.653,79.944,3fGR17imrNcMkwm5WZSBbI,257067,4
Look At Me - Remastered 2010,John Lennon,rock,0.484,0.0628,6,-21.323,0,0.0298,0.859,1.42e-05,0.109,0.347,148.063,09fQpSdFwQPXS4n7ADensn,173653,4
"I Know You Rider - Live at Harpur College, Binghamton, NY, May 2, 1970",Grateful Dead,rock,0.496,0.29,7,-18.894,1,0.0356,0.709,0.0247,0.376,0.573,126.098,1IriXCVgKWnjpJ1KDZGlDz,472990,4
"Night, Night Of The Assassins - Studio Session: mars Studio 1980/09/09",Les Rallizes Dénudés,rock,0.277,0.593,1,-9.113,1,0.0362,0.000139,0.845,0.119,0.128,83.328,3ljaom4mpylJvVocb6mHbQ,760000,4
Ángel Para Un Final,Los Bunkers,rock,0.259,0.654,6,-3.858,0,0.0331,0.025,0,0.219,0.452,181.893,5XCPY7thylYmy22C9JWaUi,243160,3
"Woman - Stripped Down Mix, 2010",John Lennon,rock,0.65,0.507,3,-8.582,1,0.0382,0.216,0.00356,0.0642,0.668,159.828,7C65Cntage9GWXjn0yUf0S,225227,4
Silence Is Golden,Frankie Valli & The Four Seasons,rock,0.528,0.425,3,-10.399,1,0.0258,0.78,0,0.103,0.434,100.181,3fmnd9hTa40539LLKH9AjA,203893,4
Suffragette City - 1990 Remaster,David Bowie,rock,0.436,0.877,2,-11.017,1,0.0363,0.405,0,0.269,0.834,142.929,15R6d47UZalM3uST1WGk7E,206400,4
Let the Right One Slip In - Long Mix,Morrissey,rock,0.458,0.909,2,-7.165,1,0.0316,0.00185,0.000647,0.136,0.942,154.164,19Rs0rDi9tJlWG7pimu9hd,193520,4
Leader of the Pack,Twisted Sister,rock,0.604,0.592,8,-13.002,1,0.0347,0.0108,1.08e-06,0.194,0.376,127.905,2IBGILxaWkcN6vNt2oTgRz,225280,4
Slow Dances,Winnetka Bowling League,rock,0.595,0.77,11,-5.392,1,0.0359,0.0129,0.00254,0.152,0.755,133.961,0J8x2FryJyw7OVnEGYNFQE,232280,4
The Funeral Of Hearts,HIM,rock,0.555,0.835,6,-5.096,0,0.0364,0.0186,1.63e-05,0.276,0.335,114.028,1am4i5c7lpan6Zeoo7Wa83,270170,4
Build Me Up Buttercup - Rerecorded,The Foundations,rock,0.707,0.814,0,-7.364,1,0.0368,0.158,2.73e-06,0.106,0.922,132.066,5NgdrtTRqLiT6G3CNvdr6T,185480,4
Children of the Damned - 1998 Remaster,Iron Maiden,rock,0.213,0.816,4,-5.532,0,0.0456,0.00912,0.051,0.322,0.457,192.308,1n7K7X0cU4pRA9uUA6njro,275213,4
"Turn on Your Lovelight - Live at Nassau Coliseum, Uniondale, New York 3/29/90",Grateful Dead,rock,0.595,0.717,9,-10.071,1,0.0747,0.606,0.00286,0.355,0.514,110.237,7hNTssTfXAeVRpoig8Qc31,461147,4
Sun Moon and Star,The Maytals,rock,0.883,0.571,9,-7.387,1,0.0467,0.476,0.000128,0.138,0.983,123.137,3PEOj1PQDgS9bArJqBy53g,194653,4
Going To The Country,Bruce Cockburn,rock,0.485,0.333,6,-13.418,1,0.0289,0.781,0.00156,0.117,0.527,100.895,7cwlGuG0tHGp7taJTU4ebu,196267,4
El Perdedor,Blues Boys,rock,0.394,0.344,9,-14.798,1,0.0815,0.00939,1.64e-05,0.0863,0.297,150.118,4mjRBGJ2HKf9cvL8ymKnlg,214367,4
Room Service,KISS,rock,0.527,0.948,6,-5.325,1,0.0494,0.281,5.27e-05,0.224,0.842,153.395,1wefTHpKzebYTQXUtZhSKD,181333,4
Bye Bye Love,The Cars,rock,0.626,0.741,4,-7.817,1,0.0298,0.0378,0.00239,0.282,0.911,126.513,4CgH9V2G8vg0UvIFbEq8QT,255160,4
"Lover of the Bayou - Live at the Felt Forum, NYC, NY - March 1970",The Byrds,rock,0.513,0.714,9,-10.354,0,0.0368,0.00132,0.00266,0.113,0.583,105.426,1js1ZM3OmT3C1eqzdOsnYY,219227,4
Amazing Grace,Jadon Lavik,rock,0.526,0.351,7,-9.37,1,0.0322,0.735,8.32e-06,0.145,0.325,123.149,4TrnGkLwWzF2irMc0zl7qc,199000,4
"Scythian Suite, Opus 20 II: The Enemy God And The Dance Of The Dark Spirits (Live)",Metallica,rock,0.437,0.642,0,-10.793,1,0.0864,0.376,0.0027,0.732,0.16,117.358,6Z7Ms0ymWgen8D4hah0aOh,219240,4
For Whom the Bell Tolls (Live),Metallica,rock,0.276,0.949,1,-7.676,1,0.0867,7.55e-06,0.109,0.876,0.118,131.589,2hwWb4IVjEz4SngtAtSZRn,276640,4
Changes - 1990 Remaster,David Bowie,rock,0.527,0.264,0,-14.158,1,0.0351,0.678,0,0.165,0.403,113.699,6pRXwJRJ9x8D8WOCXsJgl1,215160,4
Vampires Will Never Hurt You,My Chemical Romance,rock,0.327,0.963,4,-8.871,0,0.174,0.0118,0,0.176,0.199,98.416,7J4uwuiyWB7BqIcyNdcVRl,326507,4
Houses of the Holy - 1990 Remaster,Led Zeppelin,rock,0.629,0.864,9,-7.561,1,0.034,0.112,0.247,0.648,0.958,123.325,0xOYmjOSboHaeDTmGqJtz2,242080,4
LN Granada,Supersubmarina,rock,0.554,0.919,9,-3.615,1,0.0515,0.00511,0.000497,0.519,0.386,140.009,0eTNLIPzgURsXMdgX4cdpJ,191747,1
These Colours Don't Run,Iron Maiden,rock,0.309,0.931,4,-5.789,0,0.12,0.00762,0.0058,0.11,0.245,99.726,01hCkqkG9Z96qBXNknoKFp,413080,4
Your Mama Don't Dance,Poison,rock,0.496,0.935,1,-2.58,1,0.0679,0.00701,0,0.215,0.801,150.061,2qtVDOZ5eAbZWSpSHp7EyG,181067,4
Sunday Bloody Sunday,U2,rock,0.543,0.964,6,-5.687,1,0.0515,0.411,0.00205,0.047,0.777,100.456,2ouuCTFyeTU8WEZ5WNH7BX,279493,4
Country Comforts - BBC Radio 1 Performance/1970,Rod Stewart,rock,0.524,0.561,0,-6.38,1,0.0278,0.403,0.000129,0.09,0.356,104.642,7jWIszxx1eHE3mv30n0Kpt,362360,4
Intuition - Remastered 2010,John Lennon,rock,0.771,0.572,2,-9.837,1,0.0682,0.218,0.0404,0.303,0.903,118.863,570g0E93XPrX0BNRJFhRe8,190907,4
Folsom Prison Blues,Brandi Carlile,rock,0.487,0.952,6,-5.526,1,0.0598,0.259,0.0168,0.979,0.288,111.307,55LoB5vRwt2543GHbpJkw3,232120,4
Dyers Eve (Remastered),Metallica,rock,0.404,0.948,6,-7.252,0,0.0604,1.92e-05,0.0405,0.0773,0.701,96.789,4bAQzjDk9ONZ8gvm5YKEGE,313045,4
Uncle Joe - 1990 Digital Remaster,Gregory Isaacs,rock,0.939,0.3,7,-15.266,1,0.204,0.000374,9.31e-06,0.0643,0.872,120.717,3AHkKMY0DEWqIwfsx514fs,229000,4
Crumbling Land (Take 1) - Zabriskie Point,Pink Floyd,rock,0.399,0.468,2,-12.421,1,0.0312,0.502,9.64e-06,0.0926,0.367,115.714,49OuJvRUrkfVbu4NIUxPdb,248853,4
PREY FOR ME/3,FEVER 333,rock,0.362,0.946,8,-3.546,1,0.298,0.0154,0,0.174,0.42,130.076,6l7RAW0pgGD1YZdb2Dg9yi,311467,4
Duele El Amor - Versión 80’s Techno,Aleks Syntek,rock,0.725,0.758,6,-7.219,0,0.044,0.0917,0.00328,0.345,0.704,129.994,49FjDFVOpEF1mi99I5Ts5q,288067,4
Let's Dance - 2002 Remaster,David Bowie,rock,0.654,0.641,8,-9.771,1,0.0482,0.00535,0.00321,0.209,0.794,114.696,4cVHMHgmWgudD399ZdhQ3L,247600,4
Thanks for the Dance,Leonard Cohen,rock,0.466,0.0546,3,-21.535,1,0.0393,0.903,0.000624,0.0937,0.304,110.564,0LkDzYzNxLDU76KrFnudSu,253493,3
Desolation Row,My Chemical Romance,rock,0.297,0.981,4,-4.222,1,0.386,0.00017,4.33e-05,0.106,0.0719,168.281,1UA8SS9CMkOUjQq0Prvpzr,179293,4
Country Queen,Night Moves,rock,0.543,0.718,10,-5.466,0,0.0303,0.196,0.0799,0.233,0.325,117.982,39eU7ExgjIqtb1taHOd044,256387,4
NAAI IS 'N LEKKER DING,Die Antwoord,rock,0.908,0.656,11,-5.355,1,0.379,0.437,0,0.659,0.294,122.082,3qSQUFZZgv9xEVr1JgYoCt,236330,4
We Will Rock You,Queen,rock,0.681,0.414,11,-8.77,0,0.0835,0.507,0,0.173,0.557,81.479,0z4ZkIPi5VXJksMtd18seX,122107,4
1990 (Mil Nueve Noventa) - Remasterizado 2007,Soda Stereo,rock,0.548,0.727,0,-7.68,1,0.0286,0.0112,0.00687,0.174,0.744,95.112,5U3z76HVF4JZ5cc7Xaem5v,218747,4
Ducks on a Pond - 2010 Remaster,The Incredible String Band,rock,0.485,0.346,7,-11.26,1,0.0338,0.742,0,0.0886,0.387,113.199,2Ji32LWbvBcfBFD8KVk4fO,550733,4
Sea Lion Goth Blues,The Growlers,rock,0.329,0.83,9,-5.665,1,0.039,0.501,0.0625,0.0821,0.761,149.824,6aBp5DaHGdpEuzyvJfypMJ,149947,4
Midnite Blues,The Detroit Cobras,rock,0.574,0.545,11,-6.91,0,0.0276,0.0024,0.0595,0.166,0.769,129.625,2zbMN4VYL7fbbh4HdVfUQA,154467,4
"Spaceman - Live at Wrigley Field, Chicago, IL - September 2010",Dave Matthews Band,rock,0.548,0.917,2,-7.801,1,0.107,0.174,3.55e-05,0.789,0.37,103.688,73Jj2SEQLh0FAKP4iC7TCx,387107,4
House of Pain,Faster Pussycat,rock,0.519,0.61,0,-10.256,1,0.036,0.0766,6.49e-05,0.248,0.232,121.324,02pW89yEg8BHmkQWf1RTMF,346627,4
Funky Kitchen,BRADIO,rock,0.578,0.845,1,-3.829,1,0.0956,0.0802,0,0.0739,0.782,95.047,1q0Y3ZCUxUjDQWTluk1sKU,269665,4
"Rock Me (with John Sebastian) - Live at the Felt Forum, New York City, January 18, 1970, Second Show",The Doors,rock,0.257,0.569,4,-10.26,0,0.0382,0.531,0.00252,0.973,0.519,185.847,3sQYNBSkWNgwpt8OKgKNuA,361680,3
Death Is In Love With Us,HIM,rock,0.482,0.88,6,-5.615,0,0.0413,0.000163,0.0098,0.123,0.762,141.683,2FSuYN8OAkMAgZNxTTHSjR,178958,4
Come Around,Slightly Stoopid,rock,0.802,0.853,1,-6.844,1,0.0342,0.039,0.0196,0.0891,0.919,138.055,1tEbbGSIDCaV3sExEUIndI,224920,4
Fisherman's Blues - 2006 Remaster,The Waterboys,rock,0.371,0.847,9,-4.564,0,0.0803,0.0032,6.28e-06,0.107,0.62,137.97,0i0yTnhVQV2J44vrLVU3dD,266667,4
Lady D’Arbanville - Live At The BBC / 16th June 1970,Yusuf / Cat Stevens,rock,0.487,0.382,4,-8.479,0,0.0347,0.687,0.00523,0.105,0.502,93.264,23s1W6sBBwRCwpGXSr14n4,234560,4
"Tu Carcel - En Vivo Desde Tijuana, Mexico/2004",Los Enanitos Verdes,rock,0.639,0.745,2,-5.455,1,0.0291,0.152,4.26e-06,0.914,0.59,117.457,4TLySWDkn6e20EpFEVAAUV,242413,4
If She Was Mine,Bobby Goldsboro,rock,0.809,0.449,0,-10.202,1,0.0426,0.664,0,0.0995,0.953,133.566,06f8GX9xInLk5TuD33Hme3,137012,4
"Break on Through (To the Other Side) - Live at the Felt Forum, New York City, January 17, 1970, First Show",The Doors,rock,0.287,0.724,2,-10.462,1,0.0407,0.318,0.00303,0.754,0.663,182.322,28E9fhqAw8zMI9VGu9o9b6,263480,4
"An Crúiscín Lán / Cuach Mo Lon Dubh Buí - Live, 1980 Bremen",Clannad,rock,0.592,0.41,2,-8.932,1,0.11,0.895,0,0.316,0.737,134.728,5Q6mBJV6SJqyDImzqkM58a,382334,1
The Mountains Win Again,Blues Traveler,rock,0.32,0.703,7,-5.199,1,0.0321,0.0234,0.000222,0.192,0.379,136.79,51pHxrtDL67fSwiBYRv4EX,306560,4
"Ship of Fools - Live in Boston, 1970, First Show",The Doors,rock,0.266,0.582,2,-8.099,1,0.0297,0.0769,0.0124,0.67,0.383,157.552,33WAgseMNXRPz5QC8e1892,386560,4
Romance,Vacationer,rock,0.793,0.579,5,-5.903,0,0.0441,0.0442,8.94e-05,0.211,0.885,105.014,5UgUmuYGDRk2S0wUPKq5yl,225720,4
We Begged 2 Explode,Jeff Rosenstock,rock,0.559,0.337,11,-7.17,1,0.0278,0.113,0,0.127,0.276,100.41,0XnqUcTg0CEshMvosY7o0K,224151,3
Electronic Renaissance,Belle & Sebastian,rock,0.164,0.903,5,-6.884,1,0.0767,0.231,0.000212,0.111,0.223,176.859,237UUaOUaei5KLwcpnqali,283160,4
Devotion,Faces,rock,0.437,0.228,0,-12.618,1,0.0326,0.818,0.456,0.114,0.113,110.375,62gr7sQ39scj8gnTab95Qy,294867,4
